Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2019-01-25
Data Final: 2019-03-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2019-01-25;0;32,4;26,6;25,6;
2019-01-26;64;34;26,9;20,5;
2019-01-27;,2;36,3;29,3;23,2;
2019-01-28;0;36,9;30,3;23,5;
2019-01-29;0;38,9;31,2;24,9;
2019-01-30;0;38,8;31,2;25,6;
2019-01-31;0;37,7;29,8;23;
2019-02-01;0;37,5;30,3;23,5;
2019-02-02;0;37,7;30,6;24,6;
2019-02-03;0;35,1;30,4;26,7;
2019-02-04;2,2;29,3;25,9;24,9;
2019-02-05;64,4;25,7;23;21,5;
2019-02-06;4,2;27,2;23,9;21,9;
2019-02-07;21,4;29,5;24,4;20,6;
2019-02-08;,2;31,5;25,7;20,9;
2019-02-09;0;33,4;26,8;21,3;
2019-02-10;0;35,9;29,2;22,8;
2019-02-11;0;36,9;30,5;24,4;
2019-02-12;0;37;29,3;24,9;
2019-02-13;57,2;27,1;24,8;23,2;
2019-02-14;1,2;27,6;24,4;21;
2019-02-15;0;28,6;24,7;20,4;
2019-02-16;4,8;31,2;25,8;22,7;
2019-02-17;1,4;33,4;27,4;23,7;
2019-02-18;43,4;31,9;26;23,1;
2019-02-19;7,6;34;28,2;23,7;
2019-02-20;4,2;35,9;27,9;22,3;
2019-02-21;0;30;27,4;24,6;
2019-02-22;,6;36,2;28,6;23,2;
2019-02-23;,8;37,7;29,6;23,8;
2019-02-24;0;38,3;31,1;24,7;
2019-02-25;0;38,7;29,5;25,1;
2019-02-26;17;31;27;22,9;
2019-02-27;,8;33,9;27,3;23,6;
2019-02-28;16,8;32,7;27,1;23,4;
2019-03-01;1,6;32,1;26,8;24,2;
2019-03-02;56,4;29,7;24,4;22;
2019-03-03;4,2;30,4;25,8;24;
2019-03-04;22,6;31,7;25,5;22,5;
2019-03-05;0;34;27,5;23,2;
2019-03-06;0;34,3;28;23,4;
2019-03-07;0;36,3;29,3;23,9;
2019-03-08;0;36,8;29,9;24,1;
2019-03-09;0;36,7;29,5;24,6;
2019-03-10;0;33,6;28;24,1;
2019-03-11;28,6;30,8;26,3;23,2;
2019-03-12;0;32,3;27,1;23,5;
2019-03-13;0;36,7;28,3;24,3;
2019-03-14;0;35,2;28,9;24,3;
2019-03-15;0;32,7;28;25,3;
2019-03-16;,8;31,5;26;23,8;
2019-03-17;48,4;32,1;27,4;23,3;
2019-03-18;3,8;33,8;28,1;24,5;
2019-03-19;0;35,6;29,3;25,1;
2019-03-20;23,6;29,7;26,1;23,5;
2019-03-21;10;25,6;23,7;23;

