Nome: RIO DE JANEIRO - JACAREPAGUA
Codigo Estacao: A636
Latitude: -22.93999999
Longitude: -43.40277777
Altitude: 20
Situacao: Operante
Data Inicial: 2019-01-25
Data Final: 2019-03-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2019-01-25;0;31,5;25,7;23,8;
2019-01-26;27,6;31,6;25,8;20,4;
2019-01-27;,2;33,4;27,5;22,1;
2019-01-28;0;33,8;28,2;22,2;
2019-01-29;0;35;28,7;23;
2019-01-30;0;36,2;28,3;22,2;
2019-01-31;0;35;27;20,4;
2019-02-01;0;34,6;27,5;21;
2019-02-02;0;36,1;27,3;21,3;
2019-02-03;0;33,6;27,8;22,9;
2019-02-04;6;27,9;24,6;23,4;
2019-02-05;147,8;26,6;22,8;21,3;
2019-02-06;,2;27,3;23,4;21,2;
2019-02-07;54;29,4;23,4;19,8;
2019-02-08;,2;30;24,5;19,8;
2019-02-09;0;31,3;25,3;20,1;
2019-02-10;0;34,1;27,4;21,7;
2019-02-11;0;37,2;29,4;23,1;
2019-02-12;0;34;27,8;23,3;
2019-02-13;56,4;27,4;24,4;23;
2019-02-14;1,6;27,8;23,8;19,7;
2019-02-15;0;27,7;23,9;19,8;
2019-02-16;4,4;30,4;25;22,3;
2019-02-17;1;33,7;26,3;22,9;
2019-02-18;20,8;29,9;25,6;22,7;
2019-02-19;6,6;33,9;27,1;23;
2019-02-20;4,8;33,7;26,9;21,4;
2019-02-21;0;30,2;26,1;23,2;
2019-02-22;,4;33;27,2;22,6;
2019-02-23;3;37,2;28,2;23,1;
2019-02-24;0;37,6;29;23,7;
2019-02-25;0;36,9;28,3;23,7;
2019-02-26;14,6;30,9;26,5;22,8;
2019-02-27;3,4;31,2;25,9;22,6;
2019-02-28;8,8;30;25,9;23,5;
2019-03-01;3,8;29,7;25,9;23,3;
2019-03-02;68,2;29,8;24,4;22;
2019-03-03;4;30,2;25;22,8;
2019-03-04;21,4;30,9;25;22;
2019-03-05;,2;31,7;26,5;22,5;
2019-03-06;0;33;26,8;22,4;
2019-03-07;0;34,9;28,2;23,2;
2019-03-08;0;35,8;27,9;22,7;
2019-03-09;0;34,6;27,8;23,2;
2019-03-10;0;31,9;26,3;22,1;
2019-03-11;17,8;30,3;26;24;
2019-03-12;14;30,7;26;23,3;
2019-03-13;0;34,8;26,9;23,4;
2019-03-14;3,4;34,6;26,9;23;
2019-03-15;,2;31,4;26,4;23,5;
2019-03-16;20;31;25,4;22,9;
2019-03-17;29,6;31,3;26,5;22,9;
2019-03-18;6;31,7;27;23,7;
2019-03-19;0;34,4;28;23;
2019-03-20;27,4;29,4;25,5;23,1;
2019-03-21;43,2;25,5;23,2;22,6;

