Nome: RIO DE JANEIRO-MARAMBAIA
Codigo Estacao: A602
Latitude: -23.05027777
Longitude: -43.59555555
Altitude: 12
Situacao: Operante
Data Inicial: 2019-01-25
Data Final: 2019-03-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2019-01-25;0;30,3;26,1;25,1;
2019-01-26;41,6;30,8;25,6;19,5;
2019-01-27;0;33,4;27,7;22,4;
2019-01-28;0;35,5;28,7;23,7;
2019-01-29;0;36;30;25,3;
2019-01-30;0;37,5;28,9;24,4;
2019-01-31;0;34,6;27,2;22,6;
2019-02-01;0;35,4;28,1;23,2;
2019-02-02;0;32,9;27,6;23,2;
2019-02-03;0;30,5;27,9;25,2;
2019-02-04;88,4;28;25;23,2;
2019-02-05;136,6;26,5;23,4;21,4;
2019-02-06;,2;28,1;23,7;21,3;
2019-02-07;89,8;27,8;23,8;20,4;
2019-02-08;0;30,3;25,1;20,9;
2019-02-09;0;30,4;25,9;21;
2019-02-10;0;33,9;27,8;22,8;
2019-02-11;0;38,4;30;24,8;
2019-02-12;,4;30;27;24,1;
2019-02-13;42,2;26,5;25,4;23,1;
2019-02-14;1,4;27,2;24,2;20,6;
2019-02-15;0;28,1;24,1;20,5;
2019-02-16;4,8;29;25,1;22,8;
2019-02-17;,4;33,8;25,8;22;
2019-02-18;26,4;28,7;25,6;23,2;
2019-02-19;2;31,7;26,7;23,7;
2019-02-20;2,8;34,3;26,8;22,5;
2019-02-21;0;30,7;27;25,2;
2019-02-22;,8;32;27,3;23,8;
2019-02-23;1,4;37,2;27,8;23,8;
2019-02-24;0;38,7;29,8;25,5;
2019-02-25;0;36,9;29,1;26,2;
2019-02-26;2,4;30,9;26,3;23,4;
2019-02-27;56,2;31;25,5;21,8;
2019-02-28;15,8;28,1;25,7;23,4;
2019-03-01;2,8;29,2;26;24,2;
2019-03-02;64,2;30,7;24,5;22,1;
2019-03-03;,8;29,1;25,1;23,5;
2019-03-04;83,2;29;25,1;21,6;
2019-03-05;0;29,7;26,6;24;
2019-03-06;0;33;26,9;23,9;
2019-03-07;1,2;36,5;28,6;23,8;
2019-03-08;0;36,7;29,3;24,5;
2019-03-09;0;35,5;28,5;24,4;
2019-03-10;0;30,1;26,9;24,3;
2019-03-11;,4;28,3;26,9;25;
2019-03-12;6,2;28,8;25,9;22,8;
2019-03-13;0;35,5;27,5;24,3;
2019-03-14;1,6;34,6;27,6;24,7;
2019-03-15;0;30,2;27,3;25;
2019-03-16;11,6;28,9;25,7;23,2;
2019-03-17;10,4;29,8;26,6;24,2;
2019-03-18;9,8;32,5;27,1;24,5;
2019-03-19;0;32,1;28,1;24,7;
2019-03-20;63,4;28,9;26,1;22,9;
2019-03-21;20,8;27,6;24,8;22,8;

