Nome: RIO DE JANEIRO-MARAMBAIA
Codigo Estacao: A602
Latitude: -23.05027777
Longitude: -43.59555555
Altitude: 12
Situacao: Operante
Data Inicial: 2019-01-25
Data Final: 2019-03-21
Periodicidade da Medicao: Horaria

Data Medicao,Hora Medicao,PRECIPITACAO TOTAL. HORARIO(mm),RADIACAO GLOBAL(Kj/m²),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C),TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C),VENTO. DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s)
2019-01-25,0000,0,-3.5,29.2,29,250,5,3.9
2019-01-25,0100,0,-1.9,29.2,27.1,246,14.7,10.6
2019-01-25,0200,0,-3.2,27.4,26.4,56,13,1.9
2019-01-25,0300,0,-3.5,26.4,26,337,3.9,1.9
2019-01-25,0400,0,-3.5,27.2,25.9,245,4.5,2.9
2019-01-25,0500,0,-3,27.5,26.5,357,4.8,.7
2019-01-25,0600,0,-3.5,27.6,25.5,352,3.5,1.4
2019-01-25,0700,0,-3.5,25.4,25.2,32,3.1,2.2
2019-01-25,0800,0,-3.1,25.4,25.1,33,3.1,2.1
2019-01-25,0900,0,16.1,25.9,25.3,159,2.6,.5
2019-01-25,1000,0,216.1,27.7,25.8,181,5,3.5
2019-01-25,1100,0,592.5,28.4,27.6,174,4.6,1.8
2019-01-25,1200,0,1835.9,29.9,28.2,201,3.3,1.4
2019-01-25,1300,0,1679.4,29.7,28.7,213,4.3,2.8
2019-01-25,1400,0,1487.9,30.3,28.5,192,5,2.8
2019-01-25,1500,0,1214.7,29.3,28.5,188,5.5,3.3
2019-01-25,1600,0,1534.6,29.5,27.8,144,9.3,7.1
2019-01-25,1700,0,2966.4,29.6,28.4,141,10.1,7.3
2019-01-25,1800,0,2476.2,29.8,28.6,139,9.3,7.3
2019-01-25,1900,0,1617.2,29.8,28.1,124,10.9,6.8
2019-01-25,2000,0,211.6,28.1,22.8,354,16.7,9.7
2019-01-25,2100,29.8,7.4,22.8,19.5,38,20.1,1.4
2019-01-25,2200,4.4,-.7,20.2,19.7,71,4.1,1.1
2019-01-25,2300,5.8,-1.6,20.5,20.1,11,6.1,3.8
2019-01-26,0000,1.4,-1.9,20.8,20.5,11,6.1,2.4
2019-01-26,0100,.2,-2.1,21.3,20.8,345,5.7,3.2
2019-01-26,0200,0,-2.6,21.4,21.1,292,5.1,1.6
2019-01-26,0300,0,-1.7,22,21.1,342,4.3,2.9
2019-01-26,0400,0,-.8,22.1,21.4,346,4.3,2
2019-01-26,0500,0,-2.1,21.5,21,25,4.5,3.1
2019-01-26,0600,0,-1.7,21.1,20.8,6,4.9,2.8
2019-01-26,0700,0,-2.2,21.6,21.1,23,4.9,2.8
2019-01-26,0800,0,-1.7,21.5,21.3,37,4.5,2.5
2019-01-26,0900,0,20.8,21.8,21.4,55,3.2,2.4
2019-01-26,1000,0,305.6,23,21.8,45,3.8,2.5
2019-01-26,1100,0,803.6,25.3,23,27,4,2.3
2019-01-26,1200,0,1387.9,26.5,25.4,353,5.7,2
2019-01-26,1300,0,2764,29.5,26.3,331,4.6,1.9
2019-01-26,1400,0,2755,29.4,28,145,5.7,5
2019-01-26,1500,0,2529.7,30.3,28,130,6.7,4.1
