Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2019-01-25
Data Final: 2019-03-21
Periodicidade da Medicao: Horaria

Data Medicao,Hora Medicao,PRECIPITACAO TOTAL. HORARIO(mm),RADIACAO GLOBAL(Kj/m²),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C),TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C),VENTO. DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s)
2019-01-25,0000,0,-3.5,30.5,28.5,85,4,.7
2019-01-25,0100,0,-3.5,29.4,28.3,347,5.6,2
2019-01-25,0200,0,-3.5,29.5,27.7,8,8.2,2.5
2019-01-25,0300,0,-3.5,27.7,26.9,16,5.1,1.1
2019-01-25,0400,0,-3.5,27.8,26.8,247,2.9,.8
2019-01-25,0500,0,-3.5,28,27.4,294,3.7,1.2
2019-01-25,0600,0,-3.5,27.4,26,29,2.6,1.2
2019-01-25,0700,0,-3.5,26.4,25.7,10,2.2,1.5
2019-01-25,0800,0,-3,26.3,25.7,106,2.1,0
2019-01-25,0900,0,16.8,26.2,25.7,9,1.5,.2
2019-01-25,1000,0,349,28.6,25.6,212,1.8,.8
2019-01-25,1100,0,1440.5,30.3,28.6,271,3.8,1.4
2019-01-25,1200,0,1323,31.4,29.4,128,3.6,.7
2019-01-25,1300,0,1763.5,32.4,30,85,4,1.1
2019-01-25,1400,0,1184.4,31.7,31,15,3.8,2.1
2019-01-25,1500,0,1136.7,31.4,30.6,237,6.8,2.9
2019-01-25,1600,0,1855.1,31.6,30.8,247,8.7,3.4
2019-01-25,1700,.8,1075.5,30.9,27.4,252,9.9,3.4
2019-01-25,1800,0,1306.7,29.5,26.5,150,7.8,3
2019-01-25,1900,21.8,59.8,26.5,21.1,177,15.5,.9
2019-01-25,2000,30.4,37.4,21.8,20.5,339,4.2,2.2
2019-01-25,2100,3.6,9.1,21.4,20.7,5,7.6,2.5
2019-01-25,2200,5,-.6,21.4,21,12,5.4,.3
2019-01-25,2300,1.8,-1.8,21.6,21.3,30,2.6,1
