PRECIPITACAO TOTAL. HORARIO(mm),RADIACAO GLOBAL(Kj/m²),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C),TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C),VENTO. DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s),estacao,latitude,longitude,datetime
0.0,-3.5,29.2,29.0,250.0,5.0,3.9,marambaia,-23.05027777,-43.59555555,2019-01-25 00:00:00
0.0,-1.9,29.2,27.1,246.0,14.7,10.6,marambaia,-23.05027777,-43.59555555,2019-01-25 01:00:00
0.0,-3.2,27.4,26.4,56.0,13.0,1.9,marambaia,-23.05027777,-43.59555555,2019-01-25 02:00:00
0.0,-3.5,26.4,26.0,337.0,3.9,1.9,marambaia,-23.05027777,-43.59555555,2019-01-25 03:00:00
0.0,-3.5,27.2,25.9,245.0,4.5,2.9,marambaia,-23.05027777,-43.59555555,2019-01-25 04:00:00
0.0,-3.0,27.5,26.5,357.0,4.8,0.7,marambaia,-23.05027777,-43.59555555,2019-01-25 05:00:00
0.0,-3.5,27.6,25.5,352.0,3.5,1.4,marambaia,-23.05027777,-43.59555555,2019-01-25 06:00:00
0.0,-3.5,25.4,25.2,32.0,3.1,2.2,marambaia,-23.05027777,-43.59555555,2019-01-25 07:00:00
0.0,-3.1,25.4,25.1,33.0,3.1,2.1,marambaia,-23.05027777,-43.59555555,2019-01-25 08:00:00
0.0,16.1,25.9,25.3,159.0,2.6,0.5,marambaia,-23.05027777,-43.59555555,2019-01-25 09:00:00
0.0,216.1,27.7,25.8,181.0,5.0,3.5,marambaia,-23.05027777,-43.59555555,2019-01-25 10:00:00
0.0,592.5,28.4,27.6,174.0,4.6,1.8,marambaia,-23.05027777,-43.59555555,2019-01-25 11:00:00
0.0,1835.9,29.9,28.2,201.0,3.3,1.4,marambaia,-23.05027777,-43.59555555,2019-01-25 12:00:00
0.0,1679.4,29.7,28.7,213.0,4.3,2.8,marambaia,-23.05027777,-43.59555555,2019-01-25 13:00:00
0.0,1487.9,30.3,28.5,192.0,5.0,2.8,marambaia,-23.05027777,-43.59555555,2019-01-25 14:00:00
0.0,1214.7,29.3,28.5,188.0,5.5,3.3,marambaia,-23.05027777,-43.59555555,2019-01-25 15:00:00
0.0,1534.6,29.5,27.8,144.0,9.3,7.1,marambaia,-23.05027777,-43.59555555,2019-01-25 16:00:00
0.0,2966.4,29.6,28.4,141.0,10.1,7.3,marambaia,-23.05027777,-43.59555555,2019-01-25 17:00:00
0.0,2476.2,29.8,28.6,139.0,9.3,7.3,marambaia,-23.05027777,-43.59555555,2019-01-25 18:00:00
0.0,1617.2,29.8,28.1,124.0,10.9,6.8,marambaia,-23.05027777,-43.59555555,2019-01-25 19:00:00
0.0,211.6,28.1,22.8,354.0,16.7,9.7,marambaia,-23.05027777,-43.59555555,2019-01-25 20:00:00
29.8,7.4,22.8,19.5,38.0,20.1,1.4,marambaia,-23.05027777,-43.59555555,2019-01-25 21:00:00
4.4,-0.7,20.2,19.7,71.0,4.1,1.1,marambaia,-23.05027777,-43.59555555,2019-01-25 22:00:00
5.8,-1.6,20.5,20.1,11.0,6.1,3.8,marambaia,-23.05027777,-43.59555555,2019-01-25 23:00:00
1.4,-1.9,20.8,20.5,11.0,6.1,2.4,marambaia,-23.05027777,-43.59555555,2019-01-26 00:00:00
0.2,-2.1,21.3,20.8,345.0,5.7,3.2,marambaia,-23.05027777,-43.59555555,2019-01-26 01:00:00
0.0,-2.6,21.4,21.1,292.0,5.1,1.6,marambaia,-23.05027777,-43.59555555,2019-01-26 02:00:00
0.0,-1.7,22.0,21.1,342.0,4.3,2.9,marambaia,-23.05027777,-43.59555555,2019-01-26 03:00:00
0.0,-0.8,22.1,21.4,346.0,4.3,2.0,marambaia,-23.05027777,-43.59555555,2019-01-26 04:00:00
0.0,-2.1,21.5,21.0,25.0,4.5,3.1,marambaia,-23.05027777,-43.59555555,2019-01-26 05:00:00
0.0,-1.7,21.1,20.8,6.0,4.9,2.8,marambaia,-23.05027777,-43.59555555,2019-01-26 06:00:00
0.0,-2.2,21.6,21.1,23.0,4.9,2.8,marambaia,-23.05027777,-43.59555555,2019-01-26 07:00:00
0.0,-1.7,21.5,21.3,37.0,4.5,2.5,marambaia,-23.05027777,-43.59555555,2019-01-26 08:00:00
0.0,20.8,21.8,21.4,55.0,3.2,2.4,marambaia,-23.05027777,-43.59555555,2019-01-26 09:00:00
0.0,305.6,23.0,21.8,45.0,3.8,2.5,marambaia,-23.05027777,-43.59555555,2019-01-26 10:00:00
0.0,803.6,25.3,23.0,27.0,4.0,2.3,marambaia,-23.05027777,-43.59555555,2019-01-26 11:00:00
0.0,1387.9,26.5,25.4,353.0,5.7,2.0,marambaia,-23.05027777,-43.59555555,2019-01-26 12:00:00
0.0,2764.0,29.5,26.3,331.0,4.6,1.9,marambaia,-23.05027777,-43.59555555,2019-01-26 13:00:00
0.0,2755.0,29.4,28.0,145.0,5.7,5.0,marambaia,-23.05027777,-43.59555555,2019-01-26 14:00:00
0.0,2529.7,30.3,28.0,130.0,6.7,4.1,marambaia,-23.05027777,-43.59555555,2019-01-26 15:00:00
0.0,3702.8,30.6,29.4,136.0,8.6,6.8,marambaia,-23.05027777,-43.59555555,2019-01-26 16:00:00
0.0,3459.0,30.7,29.6,125.0,9.3,6.9,marambaia,-23.05027777,-43.59555555,2019-01-26 17:00:00
0.0,3012.0,30.8,29.4,125.0,9.5,7.2,marambaia,-23.05027777,-43.59555555,2019-01-26 18:00:00
0.0,2367.0,30.4,29.3,103.0,11.1,6.5,marambaia,-23.05027777,-43.59555555,2019-01-26 19:00:00
0.0,1540.8,30.0,29.1,106.0,13.5,7.2,marambaia,-23.05027777,-43.59555555,2019-01-26 20:00:00
0.0,603.1,29.3,28.4,108.0,13.5,6.7,marambaia,-23.05027777,-43.59555555,2019-01-26 21:00:00
