Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Operante
Data Inicial: 2019-01-25
Data Final: 2019-03-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2019-01-25;0;30,6;26,7;26,6;
2019-01-26;40,6;31,9;26,8;19,9;
2019-01-27;0;33,7;28,3;25,1;
2019-01-28;0;33;28,6;26,4;
2019-01-29;0;33,7;28,6;25,4;
2019-01-30;0;32;28;25,4;
2019-01-31;0;32,2;28;25;
2019-02-01;0;32,9;28;25;
2019-02-02;0;33,6;28,7;25,7;
2019-02-03;0;30,6;28,1;26,4;
2019-02-04;16,4;27,5;25;23,6;
2019-02-05;92,6;28;24,2;21,4;
2019-02-06;0;27,5;24,8;21,8;
2019-02-07;84,6;28,4;23,9;20,6;
2019-02-08;,2;31,6;26,4;23,3;
2019-02-09;0;32,2;27,1;23,7;
2019-02-10;0;32,3;27,6;24,8;
2019-02-11;0;35,4;29,3;25,7;
2019-02-12;0;30,1;27,6;25,9;
2019-02-13;53,4;27,6;25;23,9;
2019-02-14;,6;30;25,5;22,7;
2019-02-15;0;28,4;24,8;23,3;
2019-02-16;2,4;29,6;24,8;23;
2019-02-17;1,2;30,9;26,1;23,9;
2019-02-18;12;29,8;25,5;23,8;
2019-02-19;4,8;31,5;26,8;24,1;
2019-02-20;2,4;32,1;27,6;24,7;
2019-02-21;0;28,8;26,6;25,5;
2019-02-22;,8;33;27,7;25;
2019-02-23;0;33,1;28,4;25,4;
2019-02-24;0;34,1;29,9;27,2;
2019-02-25;0;32,7;29,7;27,9;
2019-02-26;2;30,7;27;24,6;
2019-02-27;17,6;32,6;26,8;23,4;
2019-02-28;6,2;30,2;26,4;24,1;
2019-03-01;3,8;29,5;26,5;24,8;
2019-03-02;59,2;28,3;24,7;22,1;
2019-03-03;3,8;28,4;25,8;24,1;
2019-03-04;95,4;29,1;25,6;21,1;
2019-03-05;0;32,5;27,4;24,9;
2019-03-06;0;33,4;27,6;25,1;
2019-03-07;,8;32,5;28;25,4;
2019-03-08;0;32;28,2;25,9;
2019-03-09;0;32,8;28,2;25,5;
2019-03-10;0;31;27,5;25,4;
2019-03-11;56;28,8;26,5;23,3;
2019-03-12;2;29,2;26,3;24,9;
2019-03-13;,2;33,1;28,1;25,6;
2019-03-14;0;33,3;28,1;26,5;
2019-03-15;0;30,6;27,6;26;
2019-03-16;2,4;31,2;26,5;24,8;
2019-03-17;75,2;32,4;27,6;23,8;
2019-03-18;,6;33,2;28,2;25,5;
2019-03-19;,2;31,9;28,8;26,2;
2019-03-20;37,6;29,2;26,3;23,8;
2019-03-21;,2;26,7;25;24,4;

