order,trip_id,stop_index,stop_lat,stop_lon,gps_lat,gps_lon,gps_datetime,stop_time,dist_m,time_diff_s
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,0,-22.901318,-43.347259,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 08:58:56,10893.481869284082,0.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,1,-22.90189,-43.34779,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 08:59:07,10948.970071276925,-11.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,2,-22.900466,-43.349828,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 08:59:47,11155.658409418442,-51.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,3,-22.89911,-43.35167,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:00:21,11344.496063740879,-85.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,4,-22.898012,-43.352228,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:00:48,11403.244077847308,-112.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,5,-22.89818,-43.350146,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:01:32,11189.681684071937,-156.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,6,-22.896967,-43.348397,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:02:08,11013.716998171427,-192.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,7,-22.8954,-43.34742,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:02:36,10920.271513353058,-220.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,8,-22.89369,-43.34688,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:03:04,10875.421262251433,-248.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,9,-22.890381,-43.34553,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:04:05,10767.317917020779,-309.0
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,10,-22.88842,-43.34439,-22.89986,-43.240921,2019-01-25 08:58:56,2019-01-25 09:04:40,10674.968925018908,-344.0
