order,trip_id,stop_sequence,stop_id,stop_lat,stop_lon,arrival_previsto,arrival_real,atraso_min,matched_distance_m
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,0,4124O00046C0,-22.901318,-43.347259,2019-01-25 08:58:56,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,1,4124O00031C0,-22.90189,-43.34779,2019-01-25 08:59:07,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,2,4124O00058C0,-22.900466,-43.349828,2019-01-25 08:59:47,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,3,4124O00033C0,-22.89911,-43.35167,2019-01-25 09:00:21,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,4,4124O00004C0,-22.898012,-43.352228,2019-01-25 09:00:48,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,5,4124O00006C0,-22.89818,-43.350146,2019-01-25 09:01:32,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,6,4124O00008C0,-22.896967,-43.348397,2019-01-25 09:02:08,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,7,4124O00016C0,-22.8954,-43.34742,2019-01-25 09:02:36,2019-01-25 10:50:56,108.33333333333333,245.77800858896555
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,8,4124O00017C0,-22.89369,-43.34688,2019-01-25 09:03:04,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,9,4124O00050C0,-22.890381,-43.34553,2019-01-25 09:04:05,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,10,3078O00007C0,-22.88842,-43.34439,2019-01-25 09:04:40,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,11,3078O00008C0,-22.88717,-43.34339,2019-01-25 09:05:04,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,12,3078O00009C0,-22.88579,-43.34209,2019-01-25 09:05:33,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,13,3082O00002C0,-22.88283,-43.34025,2019-01-25 09:06:50,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,14,3082O00018C0,-22.882534,-43.33687,2019-01-25 09:07:39,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,15,3082O00051C0,-22.882382,-43.333901,2019-01-25 09:08:22,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,16,3082O00019C0,-22.882138,-43.331007,2019-01-25 09:09:10,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,17,3082O00004C1,-22.88256,-43.32373,2019-01-25 09:10:51,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,18,3082O00005C2,-22.88284,-43.3224,2019-01-25 09:11:11,,,
C51592,1a516c64-e0c1-41ab-9975-71487d6bd5a6,19,3079O00001C2,-22.8835,-43.32058,2019-01-25 09:11:39,,,
